iter	Passed	Remaining
484	627	665
485	628	664
486	629	662
487	629	660
488	630	658
489	631	657
490	632	655
491	633	654
492	634	652
493	635	650
494	636	648
495	636	647
496	637	645
497	637	643
498	638	640
499	639	639
500	640	637
501	641	636
502	642	635
503	643	633
504	644	631
505	645	630
506	646	628
507	647	626
508	647	624
509	648	622
510	648	620
511	649	618
512	650	617
513	650	615
514	651	613
515	651	611
516	652	609
517	653	608
518	654	606
519	655	604
520	656	603
521	656	601
522	658	600
523	659	598
524	660	597
525	661	595
526	662	594
527	663	592
528	663	590
529	664	589
530	664	587
531	665	585
532	666	583
533	666	581
534	667	579
535	668	578
536	669	577
537	670	575
538	671	574
539	672	572
540	672	570
541	673	569
542	674	567
543	675	566
544	676	564
545	677	563
546	679	562
547	680	560
548	680	559
549	681	557
550	681	555
551	683	554
552	684	553
553	684	551
554	685	549
555	687	549
556	688	547
557	689	546
558	690	544
559	691	543
560	692	541
561	692	539
562	693	538
563	693	536
564	694	534
565	694	532
566	695	531
567	696	529
568	696	527
569	697	526
570	698	524
571	699	523
572	700	521
573	700	520
574	701	518
575	702	517
576	703	515
577	704	514
578	705	513
579	706	511
580	706	509
581	707	508
582	708	506
583	708	504
584	709	503
585	709	501
586	710	499
587	710	498
588	711	496
589	712	495
590	713	493
591	714	492
592	715	491
593	716	489
594	717	488
595	718	486
596	718	485
597	719	483
598	720	482
599	720	480
600	721	478
601	722	477
602	723	476
603	724	474
604	725	473
605	726	472
606	726	470
607	727	469
608	728	467
609	729	466
610	730	465
611	731	463
612	731	462
613	732	460
614	733	458
615	733	457
616	734	455
617	734	454
618	735	452
619	736	451
620	736	449
621	738	448
622	739	447
623	740	446
624	740	444
625	742	443
626	743	442
627	744	440
628	745	439
629	746	438
630	746	436
631	747	435
632	748	433
633	748	432
634	749	430
635	750	429
636	750	427
637	751	426
638	752	425
639	753	423
640	754	422
641	756	421
642	756	420
643	757	418
644	758	417
645	759	416
646	760	414
647	761	413
648	762	412
649	762	410
650	763	409
651	764	407
652	764	406
653	765	404
654	765	403
655	766	402
656	767	400
657	768	399
658	769	397
659	769	396
660	771	395
661	772	394
662	773	393
663	774	391
664	775	390
665	776	389
666	776	387
667	777	386
668	777	384
669	778	383
670	779	381
671	779	380
672	780	379
673	782	378
674	782	376
675	783	375
676	784	374
677	785	372
678	785	371
679	787	370
680	788	369
681	789	367
682	790	366
683	790	365
684	791	363
685	791	362
686	792	361
687	792	359
688	793	358
689	794	356
690	794	355
691	795	354
692	796	352
693	797	351
694	798	350
695	799	349
696	800	348
697	802	347
698	804	346
699	805	345
700	805	343
701	806	342
702	807	340
703	807	339
704	808	338
705	808	336
706	809	335
707	810	334
708	811	333
709	812	331
710	812	330
711	813	329
712	814	327
713	816	326
714	817	325
715	818	324
716	818	323
717	819	321
718	819	320
719	820	319
720	820	317
721	821	316
722	821	314
723	822	313
724	823	312
725	824	311
726	825	309
727	826	308
728	826	307
729	828	306
730	829	305
731	830	304
732	831	302
733	833	302
734	834	300
735	835	299
736	835	298
737	836	296
738	836	295
739	837	294
740	838	293
741	839	291
742	840	290
743	846	291
744	848	290
745	849	289
746	850	288
747	851	286
748	852	285
749	856	285
750	857	284
751	858	283
752	861	282
753	862	281
754	864	280
755	865	279
756	867	278
757	870	277
758	871	276
759	872	275
760	873	274
761	875	273
762	878	272
763	879	271
764	879	270
765	880	269
766	881	267
767	881	266
768	882	265
769	883	263
770	884	262
771	888	262
772	889	261
773	890	259
774	891	258
775	891	257
776	892	256
777	893	254
778	894	253
779	895	252
780	895	251
781	896	249
782	897	248
783	898	247
784	900	246
785	902	245
786	902	244
787	903	243
788	904	241
789	905	240
790	906	239
791	906	238
792	907	236
793	907	235
794	908	234
795	908	232
796	909	231
797	910	230
798	910	229
799	911	227
800	912	226
801	913	225
802	914	224
803	914	223
804	915	221
805	917	220
806	918	219
807	919	218
808	920	217
809	921	216
810	921	214
811	922	213
812	922	212
813	923	211
814	923	209
815	924	208
816	925	207
817	925	205
818	926	204
819	927	203
820	928	202
821	929	201
822	930	200
823	930	198
824	931	197
825	932	196
826	933	195
827	934	194
828	935	192
829	936	191
830	936	190
831	937	189
832	938	188
833	938	186
834	939	185
835	939	184
836	941	183
837	942	182
838	943	180
839	943	179
840	944	178
841	946	177
842	947	176
843	948	175
844	949	174
845	950	172
846	950	171
847	951	170
848	951	169
849	952	168
850	953	166
851	953	165
852	954	164
853	957	163
854	958	162
855	959	161
856	961	160
857	962	159
858	964	158
859	965	157
860	965	155
861	966	154
862	967	153
863	968	152
864	969	151
865	971	150
866	972	149
867	974	148
868	975	147
869	977	146
870	978	144
871	979	143
872	980	142
873	981	141
874	982	140
875	983	139
876	984	138
877	987	137
878	988	136
879	989	134
880	990	133
881	992	132
882	993	131
883	994	130
884	995	129
885	996	128
886	997	127
887	998	125
888	999	124
889	1001	123
890	1002	122
891	1003	121
892	1004	120
893	1006	119
894	1008	118
895	1009	117
896	1010	116
897	1012	114
898	1013	113
899	1013	112
900	1015	111
901	1016	110
902	1018	109
903	1019	108
904	1021	107
905	1026	106
906	1027	105
907	1028	104
908	1031	103
909	1032	102
910	1033	100
911	1033	99
912	1053	100
913	1054	99
914	1055	98
915	1056	96
916	1057	95
917	1058	94
918	1059	93
919	1059	92
920	1062	91
921	1064	90
922	1065	88
923	1067	87
924	1068	86
925	1069	85
926	1071	84
927	1072	83
928	1073	82
929	1098	82
930	1098	81
931	1099	80
932	1100	79
933	1101	77
934	1102	76
935	1103	75
936	1104	74
937	1105	73
938	1106	71
939	1109	70
940	1110	69
941	1112	68
942	1113	67
943	1114	66
944	1115	64
945	1117	63
946	1118	62
947	1119	61
948	1120	60
949	1121	59
950	1124	57
951	1127	56
952	1128	55
953	1130	54
954	1132	53
955	1133	52
956	1134	50
957	1135	49
958	1136	48
959	1142	47
960	1144	46
961	1144	45
962	1145	44
963	1146	42
964	1147	41
965	1148	40
966	1150	39
967	1151	38
968	1152	36
969	1153	35
970	1154	34
971	1166	33
972	1168	32
973	1170	31
974	1171	30
975	1172	28
976	1188	27
977	1189	26
978	1190	25
979	1191	24
980	1192	23
981	1193	21
982	1194	20
983	1195	19
984	1197	18
985	1198	17
986	1199	15
987	1201	14
988	1202	13
989	1203	12
990	1204	10
991	1206	9
992	1207	8
993	1209	7
994	1210	6
995	1211	4
996	1212	3
997	1213	2
998	1214	1
999	1227	0
